Catalog Numb.,University,Collector,No. of spec.,YE,MO,DA,Country col.,countryCode,stateProvince,lat,lon,District,Locality col.,Elevation,geodeticDatum,coordinate Uncertainty,identifiedBy,typeStatus,kingdom,phylum,class,order,family,subfamily,genus,specificEpithet,infraspecificEpithet,Full name,taxonRank,Authorship
UNZA:100217,University of Zambia,Colebrook-Robjent J,1,1991,5,11,Zambia,ZM,Southern,-15.2388802,26.6602972,Namwala,Shantanda Boma,1164,WGS84,3300,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Cassia,drewii,,Cassia drewii,Species,L.B. Sm.
UNZA:100218,University of Zambia,Colebrook-Robjent J,1,1991,5,11,Zambia,ZM,Southern,-15.185997,25.6705137,Namwala,10 km east of Namwala town,1164,WGS84,3300,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Cassia,drewii,,Cassia drewii,Species,L.B. Sm.
UNZA:101378,University of Zambia,Merrett L; Merrett M,1,1994,5,31,Zambia,ZM,Southern,-15.3098632,27.7846692,Mazabuka,Lochinvar National Park,1105,WGS84,1731,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Julbernardia,latifolia,,Julbernardia latifolia,Species,L.
UNZA:101717,University of Zambia,Colebrook-Robjent J,1,1993,11,9,Zambia   ,ZM,Southern,-15.6569118,25.6001739,District of Namwala,"Kafue Flats, north of Kabulamwanda",1198,WGS84,1952,Peter Lungu,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:101737,University of Zambia,I. Bruce-Miller,1,1993,11,7,Zambia,ZM,Southern,-15.5327108,27.8173641,Mazabuka,"South of Mazabuka, on Choma Road",1105,WGS84,842,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Colophospermum,mopane,,Colophospermum mopane,Species,L.B. Sm.
UNZA:102143,University of Zambia,Colebrook-Robjent J,1,1994,4,20,Zambia,ZM,Southern,-15.93889,25.8080889,Namwala,"Kafue River, Kafue NP",1164,WGS84,9593,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:102144,University of Zambia,Colebrook-Robjent J,1,1994,4,20,Zambia,ZM,Southern,-15.93889,25.7431008,Namwala,"Kafue River, Kafue NP",1164,WGS84,9593,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia  spiciformis,Species,Benth.
UNZA:102233,University of Zambia,Manda G,1,1995,12,,Zambia,ZM,Western,"15° 35' 12"" S","23° 46' 18"" E",District of Mongu,East of Mongu Town,1187,WGS84,291,Mukampola R,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Cymbopogon,sessiliflora,,Cymbopogon sessiliflora,Species,(Ruiz & Pav.) Mez
UNZA:103108,University of Zambia,Merrett L,1,1996,4,3,Zambia,ZM,Southern,-15.5260944,27.8413581,Mazabuka Dist.,Magoye Forest Reserve,1169,WGS84,3207,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,stipulata,,Brachystegia stipulata,Species,Benth.
UNZA:104139,University of Zambia,Merrett L; Merrett M,1,1996,5,15,Zambia   ,ZM,Southern,-15.7608007,27.7571283,Mazabuka,Lochinvar National Park,1105,WGS84,757,Mukampola R,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,stipulata,,Brachystegia stipulata,Species,Benth.
UNZA:104512,University of Zambia,Mukampola R,1,1995,7,21,Zambia,ZM,Southern,-16.901,27.947,Gwembe District,"Escarpment road, Malindi",878,WGS84,6514,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Daniellia,michelii,,Daniellia michelii,Species,(Mez) M.A. Spencer & L.B. Sm.
UNZA:105292,University of Zambia,Lungu P,1,1994,9,7,Zambia,ZM,Southern,-15.3187987,27.58103,Mazabuka,Lochinvar NP,0,WGS84,2820,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Cymbopogon,sessiliflora,,Cymbopogon sessiliflora,Species,(Ruiz & Pav.) Mez
UNZA:106768,University of Zambia,Phiri S.,1,1997,4,18,Zambia,ZM,Southern,-17.66193,26.4056627,Kalomo,Kalomo South,1432,WGS84,1771,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,glaucescens,,Brachystegia glaucescens,Species,(Baker) Wittm.
UNZA:107441,University of Zambia,Miller B,1,1993,4,19,Zambia,ZM,Southern,-16.3892,26.7275,Choma,Macha Miss.,1320,WGS84,1745,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Cymbopogon,nutans,,Cymbopogon nutans,Species,(Sw.) Griseb.
UNZA:108120,University of Zambia,Phiri S.,1,1997,4,18,Zambia,ZM,Southern,-17.6569118,26.6001739,Kalomo,Kalomo South,1432,WGS84,1771,Peter Lungu,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,glaucescens,,Brachystegia glaucescens,Species,(Baker) Wittm.
UNZA:108607,University of Zambia,Merrett L; Merrett M,1,1997,11,12,Zambia,ZM,Southern,-17.5094837,25.2983051,Livingstone,Outskirts of Livingstone,916,WGS84,2842,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,stipulata,,Brachystegia stipulata,Species,Benth.
UNZA:108631,University of Zambia,Merrett L; Merrett M,1,1997,11,10,Zambia,ZM,Southern,-15.4863769,27.5676366,Mazabuka,East of Lochinvar NP,1105,WGS84,2842,Bruce-Miller I,,Plants,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,longifolia,,Brachystegia longifolia,Species,Baker
UNZA:108632,University of Zambia,Merrett L; Merrett M,1,1997,11,10,Zambia,ZM,Southern,-17.4882065,25.0195979,Livingstone,Outskirts of Livingstone,916,WGS84,2842,Bruce-Miller I,,Plants,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,longifolia,,Brachystegia longifolia,Species,Baker
UNZA:110071,University of Zambia,Phiri S.,1,1997,4,20,Zambia,ZM,Southern,-17.6674466,26.3494615,Kalomo,Kalomo South,1432,WGS84,1771,Peter Lungu,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,glaucescens,,Brachystegia glaucescens,Species,(Baker) Wittm.
UNZA:111004,University of Zambia,Lackson N,1,1996,4,3,Zambia,ZM,Southern,-17.8971609,25.6989102,Livingstone,Tongabezi,916,WGS84,2606,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia  spiciformis,Species,Benth.
UNZA:111383,University of Zambia,Bruce-Miller I,1,1997,10,7,Zambia,ZM,Southern,-15.7946672,27.8800209,Mazabuka,Kafue Flats west of Lochinvar,1105,WGS84,1163,Mukampola R,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:113512,University of Zambia,Phiri S.,1,1998,9,12,Zambia,ZM,Southern,"17° 29' 16"" S","26° 25' 50"" E ",Kalomo,Lionkop Ranch,1432,WGS84,3049,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Peltophorum,swallenii,,Peltophorum swallenii,Species,R.C. Foster
UNZA:115089,University of Zambia,Mukampola R,1,1999,8,6,Zambia,ZM,Southern,-17.7783778,25.84424953,Livingstone,Mosi-oa-Tunya Reserve,916,WGS84,5332,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Colophospermum,mopane,,Colophospermum mopane,Species,L.B. Sm.
UNZA:115381,University of Zambia,Mukampola R,1,1999,8,6,Zambia   ,ZM,Southern,-17.77952,26.10666,Choma,Choma Dam,1320,WGS84,5332,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,stipulata,,Brachystegia stipulata,Species,Benth.
UNZA:115382,University of Zambia,Mukampola R,1,1999,8,6,Zambia   ,ZM,Southern,-15.788847,25.0136721,Namwala,Kafue NP,1164,WGS84,5332,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,stipulata,,Brachystegia stipulata,Species,Benth.
