ID_nr,Date,Day,Month,Year,Time,decimalLatitude,decimalLongitude,verbatimCoordinates,GeoreferencingComments,georeferencedBy,coordinatePrecision,georeferenceVerificationStatus,Country,Province,Location,ProtectedArea,ProtectedAreaName,Elevation_m,RoadName,RoadType,RoadSurface,DrivingFrom,DrivingTo,TotalMileage,TimeStart,TimeEnd,RecordingRoadkill,Speed_kmh,OdometerReading,Class,vernacularName,Genus,ScientificName,Number,SpeciesComments,LivestockType,Sex,ActivityPhase,lifeStage,IncidentType,MeansOfReporting,Detail,Other,Photograph,HabitatGCategory,HabitatComments,FenceCategory,FenceComments,recordedBy,Institution,DataEnteredBy,fieldNotes
8,01/04/13,1,4,2013,Not recorded,-24.2025203,27.9043829,POINT(27.9043829 24.2025203),NA,Data provider,1e-5,NA,South Africa,Limpopo,Ellisras,No,N/A,Not given,R517,Regional,Paved,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,NA,Not recorded,Not recorded,Mammalia,aardwolf,Proteles,Proteles cristata,1,not given,Wildlife,Unknown,NA,Unknown,Road Collision,Website data capture,iSpot,NA,No,Not given,Not given,Not given,Not given,Jonathan Swart,iSpot,Wendy Collinson,NA
28,02/01/13,2,1,2013,01:14:00,NA,NA,None,NA,Not georeferenced,NA,NA,South Africa,Gauteng,Kammelsdrift,No,N/A,Not given,Not given,Regional,Paved,D734,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,black-backed jackal,Canis,Canis mesomelas,1,not given,Wildlife,Unknown,Unknown,Unknown,Road Collision,Email,RoadWatch cellphone app,NA,No,Not given,Not given,Not given,Not given,Isabelle Tillet,Public,Wendy Collinson,NA
31,03/05/13,3,5,2013,Not recorded,-26.15026,27.19071,26.15026 27.19071,NA,Data provider,1e-5,NA,South Africa,Gauteng,1 km before T junction,No,N/A,Not given,N14,National,Paved,Krugersdorp,Muiskraal,Not recorded,08:00,09:15,Yes,110,Not recorded,Mammalia,black-backed jackal,Canis,Canis mesomelas,1,not given,Wildlife,Unknown,Unknown,Unknown,Road Collision,Email,NA,Road Patrol - Mott MacDonald,No,Agricultural,"GRASSLAND/MAIZE FIELDS, GRASS/FARM = GRASS 1 SIDE, FARM/CROPS OTHER SIDE OF ROAD / TREES/GRASS = TREES 1 SIDE, GRASS OPPOSITE SIDE OF THE ROAD",Stock,STANDARD STOCK SINGLE STRANDS,Vivian Jonker,Public,Wendy Collinson,NA
43,03/08/13,3,8,2013,Not recorded,NA,NA,None,NA,Not georeferenced,NA,NA,South Africa,Western Cape,Not recorded,No,N/A,Not given,TR33 1&2,Not given,Paved,Mosselbay,Oudtshoorn,23.13,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,unknown otter,Unknown,Lutrinae,2,Otter spp.,Wildlife,Unknown,Unknown,Unknown,Road Collision,Email,Excel spreadsheet,Road Patrol - Mott MacDonald,No,Not given,Not given,Not given,Not given,Robbie Uys,Public,Wendy Collinson,NA
65,04/03/13,4,3,2013,Not recorded,NA,NA,None,NA,Not georeferenced,NA,NA,South Africa,Gauteng,Not recorded,No,N/A,Not given,R573,Regional,Paved,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,unknown genet,Genetta,Genetta,1,Genet spp.,Wildlife,Unknown,NA,Unknown,Road Collision,Email,NA,NA,No,Not given,Not given,Not given,Not given,Isabelle Tillet,Public,Wendy Collinson,NA
70,05/06/13,5,6,2013,08:20:00,-25.75888889,30.23527778,25°45'32'' 30°14'07'',NA,Data provider,1e-5,NA,South Africa,Mpumalanga,Machadodorp,No,N/A,Not given,R541,Regional,Paved,Ermelo,Nelspruit,Not recorded,07:30,09:55,No,120,Not recorded,Mammalia,black-backed jackal,Canis,Canis mesomelas,1,not given,Wildlife,Unknown,Unknown,Unknown,Road Collision,Email,NA,NA,No,Not given,Not given,Not given,Not given,Vaino Prinsloo,Public,Wendy Collinson,NA
71,05/06/13,5,6,2013,08:20:00,-25.8325,30.24111111,25°49' 57'' 30°14'28'',NA,Data provider,1e-5,NA,South Africa,Mpumalanga,Machadodorp,No,N/A,Not given,R541,Regional,Paved,Ermelo,Nelspruit,Not recorded,07:30,09:55,Yes,120,Not recorded,Mammalia,black-backed jackal,Canis,Canis mesomelas,1,not given,Wildlife,Unknown,Unknown,Unknown,Road Collision,Email,NA,NA,No,Not given,Not given,Not given,Not given,Vaino Prinsloo,Public,Wendy Collinson,NA
81,05/01/13,5,1,2013,Not recorded,NA,NA,None,NA,Not georeferenced,NA,NA,South Africa,Western Cape,Not recorded,No,N/A,Not given,TR33 1&2,Not given,Paved,Mosselbay,Oudtshoorn,23.13,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,unknown mongoose,Unknown,Herpestidae,1,Mongoose spp.,Wildlife,Unknown,Unknown,Unknown,Road Collision,Email,Excel spreadsheet,Road Patrol - Mott MacDonald,No,Not given,Not given,Not given,Not given,Robbie Uys,Public,Wendy Collinson,NA
83,05/10/12,5,10,2012,07:30:00,NA,NA,None,NA,Not georeferenced,NA,NA,South Africa,Gauteng,Pretoria/Montana,No,N/A,Not given,Not given,Regional,Paved,R573,D734,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,caracal,Caracal,Caracal caracal,1,not given,Wildlife,Unknown,NA,Unknown,Road Collision,Email,ispot data,NA,No,Not given,Not given,Not given,Not given,Isabelle Tillet,Public,Wendy Collinson,NA
104,06/05/13,6,5,2013,Not recorded,NA,NA,None,NA,Not georeferenced,NA,NA,South Africa,Western Cape,Not recorded,No,N/A,Not given,TR33 1&2,Not given,Paved,Mosselbay,Oudtshoorn,23.13,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,unknown mongoose,Unknown,Herpestidae,1,Mongoose spp.,Wildlife,Unknown,Unknown,Unknown,Road Collision,Email,Excel spreadsheet,Road Patrol - Mott MacDonald,No,Not given,Not given,Not given,Not given,Robbie Uys,Public,Wendy Collinson,NA
