date,vernacularname,day,month,year,decimallatitude,decimallongitude,province,country,protectedarea,roadsurface,scientificname,incidenttype,habitatgcategory
05/04/88,honey badger,5,4,1988,NA,NA,Western Cape,South Africa,No,Paved,Mellivora capensis,Road Collision,Not given
01/12/94,yellow mongoose,1,12,1994,-25.8167,28.0278,Not given,South Africa,No,Unpaved,Cynictis penicillata,Road Collision,Not given
01/08/97,brown hyena,1,8,1997,-28.567003,16.464962,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
02/10/98,brown hyena,2,10,1998,-28.57033,16.381922,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
02/10/98,brown hyena,2,10,1998,-28.57033,16.381922,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
02/10/98,brown hyena,2,10,1998,-28.57033,16.381922,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
18/07/99,aardwolf,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
16/09/99,aardwolf,16,9,1999,-24.8169,27.4753,Not given,South Africa,No,Not recorded,Proteles cristata,Road Collision,Not given
18/07/99,african wild cat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Felis lybica,Road Collision,Not given
13/04/99,brown hyena,13,4,1999,-26.721575,15.293323000000001,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
23/06/99,brown hyena,23,6,1999,-28.567003,16.464962,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
20/10/99,small-spotted genet,20,10,1999,NA,NA,Western Cape,South Africa,No,Paved,Genetta genetta,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Gauteng,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
21/07/99,striped polecat,21,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
21/07/99,striped polecat,21,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
21/07/99,striped polecat,21,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
21/07/99,striped polecat,21,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
02/08/00,brown hyena,2,8,2000,-26.605719,15.52677,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
03/10/00,brown hyena,3,10,2000,-26.658134,15.164238,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
17/10/00,brown hyena,17,10,2000,-28.567003,16.464962,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
06/01/00,small-spotted genet,6,1,2000,NA,NA,Western Cape,South Africa,Yes,Paved,Genetta genetta,Road Collision,Not given
12/01/01,african civet,12,1,2001,-24.8169,27.4753,Not given,South Africa,No,Not recorded,Civettictis civetta,Road Collision,Not given
20/06/01,brown hyena,20,6,2001,-28.57033,16.381922,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
13/11/01,brown hyena,13,11,2001,-26.885878,15.198084,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
03/03/01,caracal,3,3,2001,NA,NA,Western Cape,South Africa,No,Paved,Caracal caracal,Road Collision,Not given
03/03/01,caracal,3,3,2001,NA,NA,Western Cape,South Africa,No,Paved,Caracal caracal,Road Collision,Not given
06/10/02,brown hyena,6,10,2002,NA,NA,Erongo Region,Namibia,Yes,Not recorded,Hyaena brunnea,Road Collision,Not given
24/11/02,brown hyena,24,11,2002,-26.718423,15.326001,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
09/04/03,brown hyena,9,4,2003,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
15/04/03,brown hyena,15,4,2003,-26.885878,15.198084,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
14/05/04,brown hyena,14,5,2004,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
28/06/04,brown hyena,28,6,2004,-26.721575,15.293323000000001,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
05/12/04,brown hyena,5,12,2004,-26.605719,15.52677,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
16/06/04,large-spotted genet,16,6,2004,-28.4196,32.3011,KwaZulu-Natal,South Africa,No,Not recorded,Genetta tigrina,Road Collision,Not given
16/07/04,large-spotted genet,16,7,2004,-28.4196,32.3011,Not given,South Africa,No,Not recorded,Genetta tigrina,Road Collision,Not given
23/11/05,black-backed jackal,23,11,2005,-26.56714,28.3767,Gauteng,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
12/06/05,brown hyena,12,6,2005,NA,NA,Northern Cape,South Africa,No,Not recorded,Hyaena brunnea,Road Collision,Not given
18/11/05,brown hyena,18,11,2005,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
10/12/06,banded mongoose,10,12,2006,-25.67844,28.50332,Gauteng,South Africa,No,Paved,Mungos mungo,Road Collision,Not given
18/09/06,brown hyena,18,9,2006,-26.66469,15.178145,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
16/10/06,brown hyena,16,10,2006,-27.867365,16.690843,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
01/05/06,spotted hyena,1,5,2006,-26.609924,16.07381,Karas Region,Namibia,No,Unpaved,Crocuta crocuta,Road Collision,Not given
18/07/06,yellow mongoose,18,7,2006,-26.4488,28.6219,Gauteng,South Africa,No,Unpaved,Cynictis penicillata,Road Collision,Grassland
17/05/07,black-backed jackal,17,5,2007,-26.4343,28.2508,Gauteng,South Africa,No,Paved,Canis mesomelas,Road Collision,Agricultural
13/04/07,brown hyena,13,4,2007,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
24/11/07,striped polecat,24,11,2007,-31.0867,28.2594,Eastern Cape,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
24/11/07,striped polecat,24,11,2007,-31.0867,28.2594,Eastern Cape,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
24/11/07,striped polecat,24,11,2007,-31.0867,28.2594,Not given,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
24/11/07,striped polecat,24,11,2007,-31.0867,28.2594,Not given,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
01/02/07,yellow mongoose,1,2,2007,-26.76688,28.38156,Gauteng,South Africa,No,Unpaved,Cynictis penicillata,Road Collision,Agricultural
