ObjectID,institution source,occurrenceID,institutionCode,collectionID,collectionCode,catalogNumber,sex,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,dateIdentified,identifiedBy,typeStatus,continent,country,stateProvince,locality,decimalLatitude,decimalLongitude,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,basisOfRecord,eventDate,year,month,day,habitat,fieldNumber,recordedBy,samplingProtocol,associatedMedia,eventRemarks,modified,Notes,notes 2,coord notes,Old id,share_data,gridref,QDS,errors,error notes,corrected,absent,sp
2015RL002409,ADU,1284991831,ADU:FrogMAP,SAFAP-VM,SAFAP-VM,URN:catalog:adu.org.za:safap:1,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,South Africa,Western Cape,Table Mountain National Park; Constantia Neck; along track to top of mountain,-34.00711728,18.40837061,Google Map,,,,,VMUS,2005/10/01,2005,10,1,,,Navarro R.A.,,,,,1,1284991831,,http://vmus.adu.org.za/?vm=FrogMAP-1,YES,3418AB,0,0,0,,0,Breviceps montanus
2015RL002410,ADU,1337000595,ADU:FrogMAP,SAFAP-VM,SAFAP-VM,URN:catalog:adu.org.za:safap:358,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,South Africa,Western Cape,Landdroskop in the Hottentots Holland Nature Reserve,-34.04845833,18.99359167,Google Earth,,,,,VMUS,2003/11/26,2003,11,26,,,Costandius Eloise,,,,,358,1337000595,,http://vmus.adu.org.za/?vm=FrogMAP-358,YES,3418BB,0,0,0,,0,Breviceps montanus
2015RL002411,ADU,1369934453,ADU:FrogMAP,FrogMAP-VM,FrogMAP-VM,URN:catalog:adu.org.za:safap:914,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,South Africa,Western Cape,Landdroskop,-34.04804052,19.01068211,Google Map,,,,,VMUS,2012/08/18,2012,8,18,,,Grundlingh Felicity,,,,,914,1369934453,,http://vmus.adu.org.za/?vm=FrogMAP-914,YES,3419AA,0,0,0,,0,Breviceps montanus
2015RL002412,ADU,1386366708,ADU:FrogMAP,FrogMAP-VM,FrogMAP-VM,URN:catalog:adu.org.za:safap:1436,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,South Africa,Western Cape,"Jamaka organic farm, Middelberg",-32.33425244,19.0677166,Google Map,,,,,VMUS,2013/06/25,2013,6,25,,,Basson Handre Renier,,,,,1436,1386366708,,http://vmus.adu.org.za/?vm=FrogMAP-1436,YES,3219AC,0,0,0,,0,Breviceps montanus
2015RL002413,ADU,1427346870,ADU:FrogMAP,FrogMAP-VM,FrogMAP-VM,URN:catalog:adu.org.za:safap:3802,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,South Africa,Western Cape,Groot Winterhoek,-32.97916667,19.05472222,Google Earth,,,,,VMUS,2014/07/28,2014,7,28,,,Peacock F.,,,,,3802,1427346870,,http://vmus.adu.org.za/?vm=FrogMAP-3802,YES,3219CC,0,0,0,,0,Breviceps montanus
2015RL002414,ADU,5900050,ADU:FrogMAP,FAC,FAC,URN:adu.org.za:SAFAP:109169,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,,,,-33.625,21.875,,,,,,Specimen seen only,1991/10/24,1991,10,24,,,"Channing, A",,,,,109169,5900050,-33.875;21.625,http://vmus.adu.org.za/?vm=FrogMAP-109169,YES,3321DB,1,0,0,,0,Breviceps montanus
2015RL002415,ADU,5900121,ADU:FrogMAP,FAC,FAC,URN:adu.org.za:SAFAP:109239,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,,,,-33.875,20.625,,,,,,Specimen seen only,1996/05/14,1996,5,14,,,"Channing, A",,,,,109239,5900121,-33.625;20.875,http://vmus.adu.org.za/?vm=FrogMAP-109239,YES,3320DC,1,0,0,,0,Breviceps montanus
2015RL002416,ADU,5900221,ADU:FrogMAP,FAC,FAC,URN:adu.org.za:SAFAP:109340,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,,,,-34.125,19.125,centroid of reserve/park,,,,,Call heard only,1997/09/03,1997,9,3,,,"Channing, A",,,,,109340,5900221,-34;19.03333333,http://vmus.adu.org.za/?vm=FrogMAP-109340,YES,3419AA,1,0,0,,0,Breviceps montanus
2015RL002417,ADU,8001025,ADU:FrogMAP,FEC,FEC,URN:adu.org.za:SAFAP:116635,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,,,,-34.16028,18.97861,Map or GPS coordinates,,,,,Call heard only,1999/05/03,1999,5,3,,,,,,,,116635,8001025,,http://vmus.adu.org.za/?vm=FrogMAP-116635,YES,3418BB,0,0,0,,0,Breviceps montanus
2015RL002418,ADU,9000038,ADU:FrogMAP,FWC,FWC,URN:adu.org.za:SAFAP:117733,,Animalia,Chordata,Amphibia,Anura,Brevicepitidae,Breviceps,,,,Breviceps montanus,,species,,,,Africa,,,,-34.375,19.125,,,,,,Recorded call,1996/10/10,1996,10,10,,,"Palmer, P A",,,,,117733,9000038,-34.375;19.125,http://vmus.adu.org.za/?vm=FrogMAP-117733,YES,3419AC,1,0,0,,0,Breviceps montanus
