unique_code,vm_number,sp_code,collection,basis_of_record,collector,country,state_prov,locality,coords_unc,Year,month,day,order,family,genus,species,taxon_name,common_nam,red_data_s,url,decimallat,decimallon
79144,115185,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,Cape Agulhas [10 miles W of point],"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115185,-34.82305556,20.01472222
79145,115200,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,"Hagelkraal [nr Agulhas, 3419DA]","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115200,-34.82305556,20.01472222
79146,115201,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,"Cape Agulhas [just W of, 3419DD]","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115201,-34.82305556,20.01472222
79147,22420,550,TM,voucher,V FITZSIMONS,South Africa,Western Cape,Cape Agulhas,degree and integer minute,1940,10,27,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22420,-34.81666667,20.01666667
79148,22436,550,TM,voucher,JD VISSER,South Africa,Western Cape,Cape Agulhas,degree and integer minute,0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22436,-34.81666667,20.01666667
79149,115323,550,CAPENATURE,voucher,V FITZSIMONS,South Africa,Western Cape,CAPE AGULHAS,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactyylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115323,-34.81666667,20.01666667
79150,115359,550,CAPENATURE,voucher,JD VISSER,South Africa,Western Cape,CAPE AGULHAS,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115359,-34.81666667,20.01666667
79151,3104,550,ReptileMAP-VM,VMUS,Badenhorst W.J.,South Africa,Western Cape,Struisbaai,0-250 m,2007,2,14,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactyylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-3104,-34.81236111,20.052
79152,3824,550,ReptileMAP-VM,VMUS,Dorse C. & van Rooyen S.,South Africa,Western Cape,Struisbaai,0-250 m,2007,12,23,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-3824,-34.80130556,20.03858333
79153,22446,550,TM,voucher,S ENDRODY YOUNGA,South Africa,Western Cape,Struisbaai,degree and integer minute,1983,8,28,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22446,-34.76666667,20.05
79154,115348,550,CAPENATURE,voucher,S ENDRODY YOUNGA,South Africa,Western Cape,STRUISBAAI,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115348,-34.76666667,20.05
